Contact ID,Age,Gender,Ethnicity,Grade Level,Zip Code,Participation Year,MediHouseIncome,PopDensity,count
FK-045347,12,Male,White or Caucasian,6,77573,2019,92559.0,2373.0,28.0
FK-273960,12,Male,White or Caucasian,7,34695,2018,58750.0,3297.0,3.0
FK-273962,12,Male,White or Caucasian,6,34695,2019,58750.0,3297.0,3.0
FK-217113,12,Female,Asian,6,34695,2020,58750.0,3297.0,1.0
FK-009247,12,Male,White or Caucasian,7,34695,2021,58750.0,3297.0,4.0
FK-009261,12,Male,Black or African American,6,34695,2022,58750.0,3297.0,2.0
FK-009174,12,Female,White or Caucasian,6,34695,2022,58750.0,3297.0,5.0
FK-009021,12,Male,Black or African American,7,34695,2022,58750.0,3297.0,2.0
FK-009137,12,Male,White or Caucasian,6,34698,2020,47676.0,3646.0,3.0
FK-009117,12,Female,Latino or Hispanic,7,34698,2020,47676.0,3646.0,1.0
FK-009194,12,Male,White or Caucasian,7,34698,2022,47676.0,3646.0,2.0
FK-009170,12,Male,White or Caucasian,6,34698,2022,47676.0,3646.0,1.0
FK-009080,12,Male,White or Caucasian,6,34698,2022,47676.0,3646.0,3.0
FK-009033,12,Male,White or Caucasian,6,34698,2022,47676.0,3646.0,1.0
FK-009030,12,Female,White or Caucasian,6,34698,2022,47676.0,3646.0,2.0
FK-272449,12,Male,White or Caucasian,6,34711,2018,60312.0,1239.0,8.0
FK-375485,12,Male,White or Caucasian,6,34711,2018,60312.0,1239.0,1.0
FK-272324,12,Male,White or Caucasian,6,34711,2019,60312.0,1239.0,1.0
FK-140849,12,Male,White or Caucasian,6,34711,2020,60312.0,1239.0,4.0
FK-216229,12,Male,Multi-Racial,7,34711,2020,60312.0,1239.0,2.0
FK-009000,12,Female,Multi-Racial,7,34689,2022,42067.0,2457.0,2.0
FK-009002,12,Female,Black or African American,7,34689,2022,42067.0,2457.0,1.0
FK-009283,12,Male,Latino or Hispanic,7,34689,2020,42067.0,2457.0,1.0
FK-009206,12,Female,Black or African American,6,34689,2019,42067.0,2457.0,1.0
FK-009285,12,Female,White or Caucasian,7,34684,2020,45071.0,3954.0,1.0
FK-009251,12,Male,White or Caucasian,7,34684,2020,45071.0,3954.0,1.0
FK-009263,12,Female,White or Caucasian,6,34684,2022,45071.0,3954.0,2.0
FK-009204,12,Male,White or Caucasian,6,34684,2022,45071.0,3954.0,1.0
FK-009199,12,Male,White or Caucasian,6,34684,2022,45071.0,3954.0,1.0
FK-009184,12,Male,Black or African American,7,34684,2022,45071.0,3954.0,2.0
FK-009164,12,Male,Multi-Racial,7,34684,2022,45071.0,3954.0,2.0
FK-009140,12,Male,White or Caucasian,6,34684,2022,45071.0,3954.0,27.0
FK-009070,12,Female,White or Caucasian,7,34684,2022,45071.0,3954.0,2.0
FK-006671,12,Male,Latino or Hispanic,7,34711,2021,60312.0,1239.0,9.0
FK-009031,12,Female,White or Caucasian,7,34684,2022,45071.0,3954.0,2.0
FK-273846,12,Male,White or Caucasian,7,34685,2019,70798.0,1328.0,1.0
FK-142249,12,Male,White or Caucasian,6,34685,2019,70798.0,1328.0,2.0
FK-009202,12,Male,Multi-Racial,6,34685,2020,70798.0,1328.0,1.0
FK-217121,12,Male,White or Caucasian,6,34685,2020,70798.0,1328.0,2.0
FK-217016,12,Male,White or Caucasian,6,34685,2020,70798.0,1328.0,6.0
FK-142290,12,Female,White or Caucasian,7,34685,2020,70798.0,1328.0,7.0
FK-142294,12,Male,White or Caucasian,7,34685,2021,70798.0,1328.0,2.0
FK-142291,12,Female,White or Caucasian,6,34685,2021,70798.0,1328.0,3.0
FK-009050,12,Male,White or Caucasian,7,34688,2022,72809.0,469.0,3.0
FK-142323,12,Male,White or Caucasian,6,34685,2019,70798.0,1328.0,2.0
FK-009222,12,Male,Latino or Hispanic,6,34684,2020,45071.0,3954.0,1.0
FK-006680,12,Female,White or Caucasian,7,34711,2021,60312.0,1239.0,13.0
FK-006495,12,Female,White or Caucasian,7,34711,2021,60312.0,1239.0,3.0
FK-272342,12,Male,Latino or Hispanic,7,34759,2018,42163.0,411.0,5.0
FK-006698,12,Male,Latino or Hispanic,6,34759,2022,42163.0,411.0,13.0
FK-006723,12,Male,White or Caucasian,7,34761,2018,60373.0,2367.0,19.0
FK-272338,12,Female,White or Caucasian,6,34761,2018,60373.0,2367.0,3.0
FK-216365,12,Male,Black or African American,6,34761,2020,60373.0,2367.0,2.0
FK-006703,12,Male,White or Caucasian,7,34761,2020,60373.0,2367.0,19.0
FK-006675,12,Male,Black or African American,7,34761,2021,60373.0,2367.0,5.0
FK-006418,12,Male,Black or African American,7,34761,2021,60373.0,2367.0,2.0
FK-006598,12,Male,White or Caucasian,6,34761,2022,60373.0,2367.0,1.0
FK-375677,12,Male,Black or African American,6,34769,2018,40793.0,2356.0,1.0
FK-272272,12,Female,White or Caucasian,7,34769,2019,40793.0,2356.0,3.0
FK-216247,12,Male,White or Caucasian,6,34769,2020,40793.0,2356.0,11.0
FK-216089,12,Male,White or Caucasian,7,34771,2018,59272.0,171.0,9.0
FK-272315,12,Female,White or Caucasian,7,34771,2019,59272.0,171.0,1.0
FK-272307,12,Female,White or Caucasian,6,34771,2019,59272.0,171.0,6.0
FK-140812,12,Male,Multi-Racial,6,34771,2019,59272.0,171.0,13.0
FK-216342,12,Male,Latino or Hispanic,7,34771,2019,59272.0,171.0,11.0
FK-006666,12,Male,Latino or Hispanic,7,34771,2021,59272.0,171.0,7.0
FK-006661,12,Male,Latino or Hispanic,7,34771,2021,59272.0,171.0,6.0
FK-006722,12,Male,Latino or Hispanic,7,34758,2018,41339.0,937.0,20.0
FK-006482,12,Female,White or Caucasian,6,34747,2022,64823.0,309.0,1.0
FK-140728,12,Male,White or Caucasian,6,34747,2021,64823.0,309.0,6.0
FK-006692,12,Male,Multi-Racial,6,34746,2022,47608.0,818.0,7.0
FK-006614,12,Female,White or Caucasian,6,34711,2022,60312.0,1239.0,5.0
FK-006590,12,Female,Multi-Racial,6,34711,2022,60312.0,1239.0,6.0
FK-006280,12,Female,Latino or Hispanic,6,34714,2018,44531.0,136.0,11.0
FK-272208,12,Male,Black or African American,7,34714,2018,44531.0,136.0,6.0
FK-006687,12,Female,Latino or Hispanic,6,34714,2019,44531.0,136.0,4.0
FK-006463,12,Male,White or Caucasian,7,34714,2021,44531.0,136.0,2.0
FK-140874,12,Male,White or Caucasian,7,34715,2019,58246.0,466.0,8.0
FK-272343,12,Male,White or Caucasian,6,34715,2019,58246.0,466.0,1.0
FK-216392,12,Female,Multi-Racial,6,34736,2020,43459.0,112.0,2.0
FK-006513,12,Male,White or Caucasian,6,34711,2021,60312.0,1239.0,3.0
FK-006428,12,Male,White or Caucasian,7,34736,2021,43459.0,112.0,2.0
FK-216263,12,Male,Latino or Hispanic,7,34741,2020,32822.0,2736.0,3.0
FK-272352,12,Male,White or Caucasian,7,34744,2019,45589.0,1330.0,1.0
FK-216286,12,Male,Black or African American,7,34744,2019,45589.0,1330.0,6.0
FK-140866,12,Female,Multi-Racial,7,34744,2020,45589.0,1330.0,5.0
FK-006701,12,Female,White or Caucasian,7,34744,2020,45589.0,1330.0,17.0
FK-140720,12,Female,White or Caucasian,6,34744,2021,45589.0,1330.0,7.0
FK-006398,12,Female,Multi-Racial,7,34744,2022,45589.0,1330.0,9.0
FK-006682,12,Male,Latino or Hispanic,6,34746,2019,47608.0,818.0,20.0
FK-140726,12,Male,White or Caucasian,7,34746,2021,47608.0,818.0,2.0
FK-140890,12,Male,Asian,7,34741,2018,32822.0,2736.0,9.0
FK-006502,12,Female,White or Caucasian,6,34771,2022,59272.0,171.0,1.0
FK-273822,12,Male,White or Caucasian,7,34684,2019,45071.0,3954.0,3.0
FK-008992,12,Male,White or Caucasian,7,34683,2022,66711.0,2954.0,1.0
FK-336084,12,Male,White or Caucasian,7,34232,2019,50249.0,2823.0,1.0
FK-253816,12,Female,Asian,7,34232,2020,50249.0,2823.0,6.0
FK-253813,12,Female,Asian,6,34232,2020,50249.0,2823.0,2.0
FK-107957,12,Female,Multi-Racial,7,34232,2022,50249.0,2823.0,12.0
FK-107939,12,Male,White or Caucasian,7,34233,2019,54233.0,2710.0,3.0
FK-336088,12,Male,White or Caucasian,7,34233,2019,54233.0,2710.0,2.0
FK-189129,12,Male,White or Caucasian,6,34233,2020,54233.0,2710.0,2.0
FK-253829,12,Male,White or Caucasian,6,34233,2020,54233.0,2710.0,4.0
FK-108067,12,Male,White or Caucasian,6,34233,2022,54233.0,2710.0,1.0
FK-108017,12,Male,White or Caucasian,6,34235,2022,48750.0,2083.0,1.0
FK-336121,12,Male,White or Caucasian,6,34237,2019,39390.0,4166.0,1.0
FK-107929,12,Female,White or Caucasian,6,34238,2019,56473.0,1323.0,4.0
FK-336092,12,Male,White or Caucasian,7,34238,2019,56473.0,1323.0,1.0
FK-336079,12,Male,White or Caucasian,7,34238,2019,56473.0,1323.0,1.0
FK-108084,12,Male,White or Caucasian,6,34238,2020,56473.0,1323.0,9.0
FK-189141,12,Male,White or Caucasian,6,34238,2020,56473.0,1323.0,4.0
FK-107999,12,Male,White or Caucasian,6,34238,2020,56473.0,1323.0,33.0
FK-107989,12,Male,White or Caucasian,6,34238,2020,56473.0,1323.0,33.0
FK-108045,12,Male,Asian,6,34238,2021,56473.0,1323.0,5.0
FK-107898,12,Male,White or Caucasian,6,34231,2021,43312.0,3209.0,2.0
FK-189193,12,Female,White or Caucasian,7,34231,2021,43312.0,3209.0,1.0
FK-189130,12,Male,White or Caucasian,6,34231,2019,43312.0,3209.0,4.0
