Account ID,Account Name,Parent Account ID,Parent Account,Billing Street,Billing State/Province,Billing City,Billing Zip/Postal Code,Active?
001Hq000035dVMBIA2,2nd Swing,0013600000s0SuKAAU,First Tee Greater Dallas,4711 TX-121 Suite 200,TX,The Colony,75056,1
0013600000yOUdgAAG,3 Lakes Golf Course,0013600000pYUxQAAW,First Tee Pittsburgh,6700 Saltsburg Rd.,PA,Pittsburgh,15235,1
00136000015OKWkAAO,3's Greenville,0013600000pYUxZAAW,First Tee Upstate South Carolina,61 Villa Road,SC,Greenville,29615,1
001Hq000036mjljIAA,4 Majors Indoor Golf,0013600000s0SuOAAU,First Tee Florida Gold Coast,9701 W Sample Road,FL,Coral Springs,33065,1
0011R00002cJ5EsQAK,4200 Lovers Lane,0013600000s0SvPAAU,First Tee West Michigan,4200 Lovers Lane,MI,Kalamazoo,49001,1
0013600001ZG9agAAD,7 Lakes Golf Club,0013600000pYUxdAAG,First Tee Sandhills,124 Devonshire Drive,nc,Seven Lakes,27376,1
0011R000022L0jxQAC,76 Golf World,0013600000s0SuOAAU,First Tee Florida Gold Coast,6801 South Kanner Hwy,FL,Stuart,34997,0
0011R00002oN2i5QAC,8 Iron Therapy,0011R00002e5xbKQAQ,First Tee Greater Topeka,"2841 SE Croco Road
Suite 400",KS,Topeka,66605,1
0013600000rztgvAAA,A.C. Read Golf Course,0013600000pYUxNAAW,First Tee Gulf Coast,3495 Pensacola NAS,FL,Pensacola,32508,1
0011R00002oNVIQQA4,Abbott Elementary,0013600000s0SuxAAE,First Tee Omaha,1313 N 156th St,NE,Omaha,68118,1
0011R00002LgoMUQAZ,Accordia Garden Koshienhama,0013600000s0SuZAAU,First Tee Japan (Historical),"1-7-2 Koshienhama, Nishinomiya",,Hyogo,663-8155,1
0011R00002JebXfQAJ,Addison Links & Tees Golf Dome,0013600000pYUwuAAG,First Tee Greater Chicago,900 West Lake Street,Illinois,Addison,60101,1
001Hq000036nXnFIAU,Aero Club Short Course,0013600000pYUwkAAG,First Tee Coastal Carolinas,3101 S Kings Hwy,SC,Myrtle Beach,29577,1
0013600001hZpccAAC,A-Ga-Ming Resort,0013600000s0SuCAAU,First Tee Northern Michigan,627 A-Ga-Ming Drive,MI,Kewadin,49648,1
0013600000s0Rs5AAE,Aguila GC,0013600000s0RnDAAU,First Tee Phoenix,8440 South 35th Avenue,AZ,Phoenix,85339,1
0013600001c1yF6AAI,Aiken Golf Club,0013600000s0Su5AAE,First Tee Aiken,555 Highland Park Dr. SW,SC,Aiken,29801,1
001Hq000039SiEcIAK,Ain HALOUF (Rabat) and Royal Golf Dar Essalam,0011R00002BgHZvQAN,First Tee Morocco,,,,,1
0013600000pYWLdAAO,Airways Golf Course,0013600000pYUwrAAG,First Tee Fresno,5440 E. Airways Boulevard,CA,Fresno,93727,1
0013600001jrDeKAAU,Ala Wai Driving Range,0013600000s0DYFAA2,First Tee Hawaii,404 Kapahulu Ave,HI,Honolulu,96815,1
0011R000031YxMiQAK,Alaqua Country Club,0013600000pXnGIAA0,First Tee Central Florida,2091 Alaqua Dr,FL,Longwood,32779,1
0013600001c1yFCAAY,"Alfred ""Tup"" Holmes Golf Course",0013600000s0Su8AAE,First Tee Metro Atlanta,2300 Wilson Drive,GA,Atlanta,30311,1
0013600000pXnIQAA0,Algonkian Golf Course,0013600000pXnGKAA0,"First Tee Greater Washington, DC",47001 Fairway Drive,VA,Sterling,20165,1
